LATITUDE;LONGITUDE;ANNUAL
-30,20;-55,45;4999
-30,20;-55,35;4990
-30,20;-55,25;4968
-30,20;-55,15;4944
-30,20;-55,05;4934
-30,20;-54,95;4922
-30,20;-54,85;4926
-30,20;-54,75;4936
-30,20;-54,65;4928
-30,20;-54,55;4906
-30,20;-54,45;4899
-30,20;-54,35;4887
-30,20;-54,25;4869
-30,20;-54,15;4856
-30,20;-54,05;4858
-30,20;-53,95;4853
-30,20;-53,85;4863
-30,20;-53,75;4840
-30,20;-53,65;4833
-30,20;-53,55;4801
-30,20;-53,45;4792
-30,20;-53,35;4778
-30,20;-53,25;4772
-30,20;-53,15;4770
-30,20;-53,05;4762
-30,20;-52,95;4761
-30,20;-52,85;4763
-30,20;-52,75;4754
